round,final_epoch,final_miou,final_f1,labeled_size,grad_train_val_cos_last,grad_tvc_mean_x,grad_tvc_min_x,grad_tvc_max_x,grad_tvc_last_x,grad_tvc_neg_rate_x,overfit_risk,selected_count,sampler_type,sampler_class,k_definition,decision_reason,selected_ids,u_mean,u_p75,k_mean,k_p75,lambda_t,avg_uncertainty,avg_knowledge_gain,lambda_controller,lambda_controller_mode,rollback_flag,miou_delta,selected_ids_count,grad_tvc_mean_y,grad_tvc_median,grad_tvc_min_y,grad_tvc_max_y,grad_tvc_last_y,grad_tvc_neg_rate_y,grad_epochs,grad_tvc_neg_rate,grad_tvc_min,grad_tvc_last,miou_gain,miou_gain_next,lambda_eff,overfit_risk_next,experiment_name
1,10,0.6651826286181258,0.7542750217934677,239,0.867323450786597,0.904388672084037,0.7963299799460166,0.9573210956240131,0.867323450786597,0.0,0.0,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[1531, 2497, 2506, 1487, 3444, 2554, 2504, 245, 3678, 3455, 2530, 2475, 1486, 2453, 635, 19, 2498, 2553, 919, 1889, 934, 3266, 1245, 1368, 1866, 1595, 3141, 1371, 3339, 2186, 906, 954, 2667, 3449, 3508, 2520, 2488, 1331, 3251, 3577, 3394, 2518, 2543, 722, 3263, 2559, 71, 1003, 223, 3529, 1632, 1381, 3252, 373, 1044, 1090, 592, 1868, 2561, 2486, 2508, 2495, 2541, 1734, 2347, 586, 2536, 1577, 1640, 2523, 845, 288, 1863, 3538, 3191, 2562, 3466, 797, 2485, 2476, 1505, 725, 1002, 2056, 1194, 2279, 3246, 703]",,,,,1.0,0.39844047894480766,0.750626144399477,,,False,,88.0,0.904388672084037,0.9285934883618954,0.7963299799460166,0.9573210956240131,0.867323450786597,0.0,10,,,,,0.025952565669607464,1.0,0.0,knowledge_only
2,10,0.6911351942877333,0.7824841355416718,327,0.7540516828541253,0.7800201697678331,0.5521161089983391,0.9166099260279681,0.7540516828541253,0.0,0.0,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[1948, 1656, 1679, 2480, 1294, 2735, 2557, 1062, 3469, 1926, 1971, 66, 1879, 1515, 497, 1793, 574, 671, 3514, 452, 206, 2741, 950, 3773, 724, 344, 3465, 3355, 751, 1772, 674, 3722, 39, 1990, 18, 2095, 3695, 3647, 3424, 1038, 3420, 1474, 122, 885, 2225, 2108, 2762, 3705, 625, 1903, 663, 1811, 1833, 3331, 2237, 118, 2089, 973, 74, 207, 3332, 3437, 1471, 767, 1654, 1115, 3153, 2886, 21, 3510, 2733, 932, 1016, 951, 489, 2356, 3194, 1205, 1765, 678, 1404, 1037, 3652, 3723, 613, 2234, 1516, 3017]",,,,,1.0,0.13615939778868447,0.7435082961732415,,,False,0.025952565669607464,88.0,0.7800201697678331,0.8088968040822285,0.5521161089983391,0.9166099260279681,0.7540516828541253,0.0,10,,,,0.025952565669607464,0.009145958495584194,1.0,0.0,knowledge_only
3,10,0.7002811527833175,0.7907618613165273,415,0.7937427408537056,0.8371184118273653,0.44949858452229835,0.9292642901529126,0.7937427408537056,0.0,0.0,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[2349, 806, 2282, 2353, 1443, 849, 2265, 2284, 2403, 2386, 3513, 2563, 2305, 2372, 2294, 2408, 2394, 397, 3426, 3517, 1069, 2424, 2348, 2425, 2311, 2310, 1256, 1573, 2281, 2925, 2318, 2389, 2146, 398, 3516, 2173, 2373, 992, 1619, 2142, 1441, 851, 3383, 2387, 2316, 2174, 176, 1033, 2328, 715, 1815, 2736, 1748, 1123, 2419, 111, 3067, 1166, 1885, 3751, 1262, 1224, 2333, 3242, 3222, 1447, 1787, 400, 3147, 753, 2021, 255, 1791, 1751, 2147, 2360, 3472, 2129, 252, 3012, 2388, 3698, 290, 2331, 2409, 3795, 2395, 734]",,,,,1.0,0.05543330465496348,0.647392760191365,,,False,0.009145958495584194,88.0,0.8371184118273653,0.8861922013120003,0.44949858452229835,0.9292642901529126,0.7937427408537056,0.0,10,,,,0.009145958495584194,0.01538159805600392,1.0,0.19672467135268287,knowledge_only
4,10,0.7156627508393214,0.8053143421975982,503,-0.09672467135268288,0.6166124677071732,-0.09672467135268288,0.9375266775202741,-0.09672467135268288,0.1,0.19672467135268287,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[116, 200, 974, 345, 658, 1195, 3343, 208, 349, 706, 2176, 1723, 948, 1108, 537, 1019, 955, 3660, 269, 3721, 253, 1382, 3656, 3769, 3347, 996, 2177, 3664, 1548, 1439, 226, 1109, 929, 1771, 20, 3771, 3354, 3349, 3292, 1176, 2087, 2085, 241, 1831, 813, 1322, 2188, 1060, 1105, 1147, 3392, 3248, 161, 1788, 168, 1500, 3312, 2469, 3525, 164, 232, 1724, 1503, 1781, 1206, 1043, 1497, 852, 860, 1874, 3307, 873, 1857, 359, 3161, 1556, 435, 454, 680, 1153, 2041, 904, 2978, 1675, 2143, 768, 313, 587]",,,,,1.0,0.15054830253409984,0.6100919704660405,,,False,0.01538159805600392,88.0,0.6166124677071732,0.841420341346063,-0.09672467135268288,0.9375266775202741,-0.09672467135268288,0.1,10,,,,0.01538159805600392,0.01866287620638074,1.0,0.14264376646403756,knowledge_only
5,10,0.7343256270457021,0.822591897669303,591,0.6384316858279977,0.6026569752799811,-0.08528753292807513,0.9276975814665388,0.6384316858279977,0.1,0.14264376646403756,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[65, 249, 202, 1131, 1339, 861, 1150, 87, 209, 3293, 3204, 3288, 542, 858, 814, 1904, 1448, 765, 854, 123, 3240, 3523, 2061, 210, 1993, 3287, 1606, 659, 1384, 204, 180, 3797, 815, 1128, 1638, 1703, 2040, 3534, 1276, 583, 1828, 1543, 2134, 1547, 1020, 3243, 2487, 42, 119, 2145, 1995, 1690, 1065, 1107, 614, 86, 3707, 2458, 1437, 3658, 1722, 3650, 131, 1563, 672, 259, 3482, 67, 3699, 1386, 3772, 2104, 356, 1250, 553, 766, 1883, 3405, 3573, 1678, 1629, 1013, 2221, 182, 3393, 311, 2131, 1860]",,,,,1.0,0.16454128725771708,0.7314888324904861,,,False,0.01866287620638074,88.0,0.6026569752799811,0.7439002104104734,-0.08528753292807513,0.9276975814665388,0.6384316858279977,0.1,10,,,,0.01866287620638074,-0.0032706211007458297,1.0,0.0,knowledge_only
6,10,0.7310550059449563,0.819740568299851,679,0.8393843606536705,0.8111870663235605,0.5790068778805441,0.9510915603835035,0.8393843606536705,0.0,0.0,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[2492, 2484, 3146, 2483, 3233, 2450, 2433, 3688, 615, 3554, 2547, 2516, 2500, 68, 2522, 2441, 3272, 2611, 1963, 2546, 2454, 2511, 1257, 384, 2865, 2463, 2473, 1246, 2896, 3625, 2555, 2401, 2223, 523, 556, 2460, 89, 2558, 250, 2442, 2539, 1180, 1861, 3494, 2438, 3408, 2813, 2447, 2940, 3358, 2451, 3177, 2001, 2939, 2429, 2723, 1112, 3211, 2010, 2448, 2510, 2549, 3345, 2489, 3179, 2823, 2534, 3527, 403, 1412, 3451, 126, 97, 1445, 2474, 57, 2986, 3535, 2537, 2535, 1869, 3407, 2503, 2491, 3581, 2466, 417, 2544]",,,,,1.0,0.0925243365583645,0.8152477248797354,,,False,-0.0032706211007458297,88.0,0.8111870663235606,0.8343465161545458,0.5790068778805441,0.9510915603835035,0.8393843606536705,0.0,10,,,,-0.0032706211007458297,0.006508403655182904,1.0,0.42458094235644417,knowledge_only
7,10,0.7375634096001392,0.8255948065847212,767,0.7676443974283121,0.5908352514274261,-0.6491618847128883,0.9290175915973227,0.7676443974283121,0.1,0.42458094235644417,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[3389, 2471, 978, 3739, 2472, 1493, 1012, 1668, 568, 2666, 267, 2481, 2459, 3317, 3425, 933, 3626, 1388, 944, 165, 101, 2883, 754, 3784, 1355, 1431, 493, 2060, 1207, 1253, 303, 1310, 3661, 939, 2989, 2100, 1453, 2175, 3737, 988, 2058, 892, 2103, 2763, 510, 3329, 2435, 2352, 1, 3363, 2574, 3364, 1499, 2201, 85, 13, 3344, 1931, 1296, 3023, 2123, 262, 121, 2482, 2199, 3316, 1309, 1400, 117, 3706, 1537, 1522, 1252, 1702, 1797, 3256, 265, 3268, 2552, 2770, 717, 1790, 2685, 2013, 284, 2102, 1449, 3782]",,,,,1.0,0.14251155182930894,0.7483774917652297,,,False,0.006508403655182904,88.0,0.590835251427426,0.8013470958169864,-0.6491618847128883,0.9290175915973227,0.7676443974283121,0.1,10,,,,0.006508403655182904,-0.012271658894592474,1.0,0.0,knowledge_only
8,10,0.7252917507055467,0.8143549496644544,855,0.2630553795968794,0.555263907218339,0.1660982788892834,0.9098287968244981,0.2630553795968794,0.0,0.0,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[959, 3689, 1140, 3226, 3216, 1864, 3352, 1819, 1998, 2540, 1093, 910, 2551, 2714, 3673, 923, 3659, 419, 1997, 3262, 1152, 639, 233, 56, 1088, 35, 90, 593, 329, 641, 3600, 3160, 2000, 1733, 47, 1092, 631, 731, 3396, 2410, 248, 1594, 1639, 286, 3171, 3530, 1682, 1423, 3612, 3446, 2346, 591, 825, 3506, 3491, 597, 3746, 2658, 3499, 3215, 2657, 1908, 1139, 2529, 1434, 1004, 1274, 3675, 824, 545, 872, 638, 503, 3258, 2494, 234, 2180, 3308, 370, 462, 1523, 475, 1009, 1559, 224, 1955, 1277, 945]",,,,,1.0,0.28259105316828936,0.8046942085697595,,,False,-0.012271658894592474,88.0,0.555263907218339,0.6134361744051324,0.1660982788892834,0.9098287968244981,0.2630553795968794,0.0,10,,,,-0.012271658894592474,0.011490103552634023,1.0,0.1637124414792961,knowledge_only
9,10,0.7367818542581808,0.8250599576610995,943,0.31654651248263577,0.5635266318846177,-0.1274248829585922,0.936598235608344,0.31654651248263577,0.1,0.1637124414792961,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[3207, 3587, 3223, 3221, 1401, 140, 99, 3342, 3761, 2778, 3453, 1775, 901, 3282, 518, 427, 2046, 3414, 3545, 697, 2379, 151, 426, 603, 1335, 560, 3788, 1223, 1379, 9, 645, 143, 1603, 3406, 3544, 1053, 3684, 3128, 3277, 2745, 3378, 10, 2513, 2790, 3164, 2514, 2182, 103, 3255, 634, 474, 3402, 3180, 2335, 729, 470, 3458, 3718, 687, 3220, 1413, 667, 153, 3304, 3228, 3567, 3124, 3463, 2812, 1100, 11, 1490, 3539, 3327, 2431, 3454, 3142, 2856, 422, 1005, 236, 1301, 282, 1579, 3467, 24, 3496, 1089]",,,,,1.0,0.22685060709376226,0.7813215656471372,,,False,0.011490103552634023,88.0,0.5635266318846177,0.5992119458745477,-0.1274248829585922,0.936598235608344,0.31654651248263577,0.1,10,,,,0.011490103552634023,0.004253038958899169,1.0,0.8895081367924175,knowledge_only
10,10,0.7410348932170799,0.8282656402886365,1031,-0.7895081367924175,0.5431639863113988,-0.7895081367924175,0.8909012851792825,-0.7895081367924175,0.1,0.8895081367924175,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[1692, 1647, 2323, 826, 494, 960, 1049, 780, 231, 539, 2831, 1813, 1691, 1693, 1158, 1907, 1555, 1420, 3653, 1588, 1232, 227, 1641, 1511, 1484, 770, 230, 1822, 1646, 2191, 163, 1376, 3398, 702, 1086, 3672, 2140, 3217, 3584, 3441, 1227, 1643, 1313, 3613, 1332, 3493, 72, 2228, 104, 385, 106, 1202, 2912, 1508, 916, 3631, 1964, 113, 1365, 3313, 502, 3635, 1919, 1417, 2195, 878, 3775, 1059, 60, 281, 1462, 1958, 772, 428, 924, 832, 1959, 1269, 859, 3542, 3227, 328, 1360, 1530, 3415, 3439, 584, 2055]",,,,,1.0,0.1535415484124149,0.8601749877178804,,,False,0.004253038958899169,88.0,0.5431639863113988,0.6705513690216087,-0.7895081367924175,0.8909012851792825,-0.7895081367924175,0.1,10,,,,0.004253038958899169,0.013214055465488594,1.0,0.39901858993033135,knowledge_only
11,10,0.7542489486825685,0.8398174483128114,1119,0.5472950086491614,0.437900461217425,-0.5980371798606627,0.8706700382244154,0.5472950086491614,0.1,0.39901858993033135,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[793, 3735, 967, 2443, 1125, 481, 3186, 37, 91, 190, 2135, 3321, 355, 53, 3417, 3170, 1858, 73, 3281, 3687, 212, 1271, 3756, 3749, 971, 699, 1953, 1248, 3524, 1774, 1667, 3271, 1756, 1683, 3202, 611, 1567, 789, 3078, 3551, 507, 2067, 627, 3794, 1270, 375, 1334, 464, 1240, 3716, 458, 1045, 3172, 228, 1160, 3430, 520, 142, 3236, 3461, 3552, 3468, 1663, 1752, 2783, 698, 3731, 2809, 595, 82, 504, 743, 1648, 2012, 1773, 154, 2810, 808, 3760, 1446, 189, 3218, 1318, 701, 3724, 795, 570, 340]",,,,,1.0,0.08294462660772049,0.8320812144297889,,,False,0.013214055465488594,88.0,0.437900461217425,0.5262489592486705,-0.5980371798606627,0.8706700382244154,0.5472950086491614,0.1,10,,,,0.013214055465488594,-7.608111813317553e-05,1.0,0.6134573712323086,knowledge_only
12,10,0.7541728675644354,0.839679897843002,1207,0.637716268806561,0.2457362672247875,-0.6269147424646173,0.8656978540589909,0.637716268806561,0.3,0.6134573712323086,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[1707, 2794, 1254, 711, 1481, 982, 983, 1665, 1120, 1528, 1975, 1706, 3001, 3502, 1708, 2894, 1028, 669, 1930, 1618, 285, 3478, 2743, 3427, 277, 3232, 2895, 1622, 893, 2066, 420, 79, 1575, 2731, 308, 418, 485, 1574, 2993, 1349, 466, 576, 1526, 1030, 1299, 2532, 622, 1527, 1482, 2113, 533, 984, 1671, 1076, 1344, 1571, 1392, 543, 1389, 1478, 2065, 3361, 1170, 3295, 1347, 1190, 3471, 1169, 2863, 1435, 2922, 1666, 2444, 2893, 1393, 980, 353, 2556, 1031, 1235, 3133, 1208, 3196, 1616, 1261, 360, 515, 3666]",,,,,1.0,0.016072420017074117,0.8329368035956829,,,False,-7.608111813317553e-05,88.0,0.2457362672247875,0.5283522431469576,-0.6269147424646173,0.8656978540589909,0.637716268806561,0.3,10,,,,-7.608111813317553e-05,0.0010317186345832896,1.0,0.5795331552886176,knowledge_only
13,10,0.7552045861990186,0.8405874414653747,1295,-0.47953315528861756,0.3928094950321356,-0.47953315528861756,0.9368251809786827,-0.47953315528861756,0.1,0.5795331552886176,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[2064, 3024, 2995, 759, 2761, 1710, 2567, 2932, 3311, 2795, 1457, 3020, 1213, 2992, 3021, 1346, 2398, 2765, 75, 2313, 2329, 2521, 1079, 1126, 2413, 758, 2280, 2517, 2820, 1279, 2933, 2528, 3766, 2960, 3278, 2542, 2222, 2935, 2620, 1762, 666, 1348, 2966, 756, 3051, 2965, 2571, 850, 2397, 1212, 2533, 1625, 2364, 3633, 1881, 580, 1701, 2570, 2962, 334, 1167, 3300, 2592, 3289, 112, 1899, 2780, 2600, 312, 1968, 1290, 1627, 3148, 1840, 582, 350, 3692, 2963, 3744, 213, 401, 3025, 2875, 2911, 1121, 1477, 1720, 3606]",,,,,1.0,0.03049444627090865,0.7303274078457391,,,False,0.0010317186345832896,88.0,0.3928094950321355,0.35463489710575713,-0.47953315528861756,0.9368251809786827,-0.47953315528861756,0.1,10,,,,0.0010317186345832896,-0.0071566783691139335,1.0,1.2349722922429522,knowledge_only
14,10,0.7480479078299047,0.8346203669432231,1383,-0.6615875652769746,-0.0543801408647297,-0.8083570192089298,0.8752695595945194,-0.6615875652769746,0.5,1.2349722922429522,88.0,ad_kucs,ADKUCSSampler,coreset_to_labeled,,"[801, 1124, 823, 3111, 2631, 3173, 2603, 2449, 2289, 2270, 656, 2576, 1307, 2322, 2509, 2200, 2293, 2308, 2779, 2326, 2942, 3781, 2306, 2635, 2915, 2632, 2969, 2336, 2715, 2278, 2426, 2717, 2327, 2275, 3056, 2607, 900, 790, 2150, 2683, 2665, 2325, 2292, 1535, 3522, 3267, 3356, 1501, 3212, 2291, 1991, 2366, 521, 2772, 2802, 1239, 2744, 512, 526, 1645, 2773, 1817, 2524, 2263, 2606, 105, 2330, 2151, 1035, 2583, 3290, 2548, 3178, 1521, 2975, 1944, 261, 920, 3372, 2650, 2581, 243, 3140, 54, 1375, 3244, 3543, 3792]",,,,,1.0,0.039513763975595466,0.7548645921352081,,,False,-0.0071566783691139335,88.0,-0.05438014086472971,0.00217803380262218,-0.8083570192089298,0.8752695595945194,-0.6615875652769746,0.5,10,,,,-0.0071566783691139335,0.0031934030731948226,1.0,1.038616786709984,knowledge_only
15,10,0.7512413109030995,0.8372698925907385,1383,-0.649808562024728,0.20265461966772555,-0.8274250113952402,0.9237189502497147,-0.649808562024728,0.3,1.038616786709984,,ad_kucs,ADKUCSSampler,coreset_to_labeled,,,,,,,,,,,,False,0.0031934030731948226,,0.20265461966772555,0.4593830605479381,-0.8274250113952402,0.9237189502497147,-0.649808562024728,0.3,10,,,,0.0031934030731948226,,,,knowledge_only
